Hour,Bus,Load,Voltage,Carbon Intensity,Generation,Cost,Emissions
1,29,-0.0,-0.18740628976246154,641.1835173805162,0.0,0.0,0.0
1,30,-0.0,12.209446548858427,0.0,0.0,0.0,0.0
1,31,-193.8757758210845,-11.338895006227755,266.1379806101936,0.0,0.0,0.0
1,32,-344.2864672591202,12.621194677979158,1000.0,0.0,0.0,0.0
1,33,-281.6811443602704,-8.250908943250355,875.1510422435726,0.0,0.0,0.0
1,34,-0.0,-0.328229169761574,521.8709718305112,0.0,0.0,0.0
1,35,-215.28011809770078,-7.522997593171997,479.4864224857765,0.0,0.0,0.0
1,36,-0.0,-13.35264671751073,476.9294530728548,0.0,0.0,0.0
1,37,-0.0,6.170953155519205,738.7338671735516,993.1786311992491,32360.9737305221,729708.2311784395
1,38,-0.0,-6.706387426882852,0.0,0.0,0.0,0.0
1,39,-0.0,-8.900040501319777,720.7246797242866,0.0,0.0,0.0
1,40,-282.3470572310985,-10.452981685074649,776.3485109561842,0.0,0.0,0.0
1,41,-319.9235692278249,-9.981423456459737,823.1132465153034,0.0,0.0,0.0
1,42,-0.0,-4.848758654579664,472.49606482831706,100.0,1676.2466,22117.258754613464
1,43,-371.48425151194056,-10.849401758674729,852.6621956219328,0.0,0.0,0.0
1,44,-35.19825174376901,12.209446548858427,420.2749681777395,0.0,0.0,0.0
1,45,-0.0,-8.248962393054864,733.3360942660144,21.229999999694936,588.2202893515476,7761.280675708324
1,46,-391.27137681654585,-10.928667345135862,685.2679498086426,0.0,0.0,0.0
1,47,-330.682818612204,2.294714146809849,673.5820971765669,0.0,0.0,0.0
1,48,-0.0,23.37804882281339,43.35780743602565,0.0,0.0,0.0
1,49,-0.0,-1.3333365778642854,442.5582570023851,0.0,0.0,0.0
1,50,-0.0,-7.452179593171997,453.86029232371294,0.0,0.0,0.0
1,51,-0.0,4.7449095115016675,0.0,0.0,0.0,0.0
1,52,-211.85542333344216,-7.152523132952538,437.22667911618066,0.0,0.0,0.0
1,53,-0.0,0.9258695221413338,0.0,0.0,0.0,0.0
1,54,-0.0,4.7449095115016675,491.54711729912634,0.0,0.0,0.0
1,55,456.66,-4.398717663912114,356.4166468244442,0.0,0.0,0.0
1,56,-0.0,16.17521424126307,40.822832922378446,1200.0,10077.9996,0.0
1,57,-0.0,-2.562894773564555,507.9253172399844,0.0,0.0,0.0
1,58,-338.64523393910525,-3.5577327004341885,1000.0,0.0,0.0,0.0
1,59,-0.0,1.607783727701932,532.083930539246,0.0,0.0,0.0
1,60,-0.0,15.736987206674197,789.1055921866902,0.0,0.0,0.0
1,61,-310.98131067670516,-7.893912184929063,775.2070899867613,0.0,0.0,0.0
1,62,-0.0,-5.586870652065915,708.327548156111,0.0,0.0,0.0
1,63,-0.0,6.237412489195667,290.01623097913904,0.0,0.0,0.0
1,64,-0.0,-5.726620496297094,404.23831001117816,0.0,0.0,0.0
1,65,-0.0,-6.706387426882852,679.6775680471388,100.0,2076.0836999999997,27392.914854613467
1,66,179.73,2.6566694221413334,0.0,0.0,0.0,0.0
1,67,-505.80839059897266,-12.124413263122532,1000.0,0.0,0.0,0.0
1,68,-0.0,34.8623580228124,0.0,0.0,0.0,0.0
1,69,-0.0,1.5753833501106935,129.35455106767583,0.0,0.0,0.0
1,70,114.36,-1.9272935862572185,297.1042919632586,0.0,0.0,0.0
