Hour,Bus,Load,Voltage,Carbon Intensity,Generation,Cost,Emissions
2,66,179.73,2.364145354105858,,0.0,0.0,0.0
2,67,-471.63966480829424,-12.286615332952351,,0.0,0.0,0.0
2,68,-0.0,38.04768310302461,,0.0,0.0,0.0
2,69,-0.0,0.6648978646553587,,0.0,0.0,0.0
2,70,114.36,0.7032594894990325,,0.0,0.0,0.0
2,71,-0.0,19.234984706665273,,600.0,13510.674,304652.45294117654
2,72,-34.896190358394385,6.095128654691507,,0.0,0.0,0.0
2,73,-0.0,-0.834038759872783,,0.0,0.0,0.0
2,74,-0.0,-0.6264393647288671,,0.0,0.0,0.0
2,75,-0.0,-4.500698612871929,,0.0,0.0,0.0
2,76,-0.0,18.111217902653152,,0.0,0.0,0.0
2,77,-565.8611528578277,-8.716489569138503,,0.0,0.0,0.0
2,78,-0.0,-10.500338779907906,,0.0,0.0,0.0
2,79,-0.0,1.768263661157107,,0.0,0.0,0.0
2,80,1299.13,58.18289897302748,,0.0,0.0,0.0
2,81,-0.0,8.245293571439106,,386.5460763322061,12087.795610984782,159492.5849818466
2,82,-0.0,7.747812230067211,,0.0,0.0,0.0
2,83,-0.0,3.5633966130699264,,0.0,0.0,0.0
2,84,-821.3200715490834,-16.4592878814874,,0.0,0.0,0.0
2,85,-0.0,11.549621751837549,,0.0,0.0,0.0
2,86,-0.0,-0.505620860873023,,0.0,0.0,0.0
2,87,-0.0,0.9026227341091726,,0.0,0.0,0.0
2,88,-15.8957735440373,-12.914347753787297,,0.0,0.0,0.0
2,89,-0.0,19.246984706667718,,600.0,10593.2064,238866.41882352944
3,1,-0.0,0.0,,0.0,0.0,0.0
3,2,23.43,-1.140639000092051,,0.0,0.0,0.0
3,3,-82.7090587116814,-8.685112973194919,,0.0,0.0,0.0
3,4,-0.0,19.322568815536215,,0.0,0.0,0.0
3,5,-0.0,18.97661252009857,,0.0,0.0,0.0
3,6,-252.57481941633418,3.330487977771554,,0.0,0.0,0.0
3,7,-0.0,9.370644394482952,,1700.0,11197.119700000001,0.0
3,8,-208.86817101750356,-13.338672330341069,,0.0,0.0,0.0
3,9,-0.0,15.744313259070623,,0.0,0.0,0.0
3,10,-0.0,6.531716953715659,,0.0,0.0,0.0
3,11,-127.69868113396105,13.517629966168897,,0.0,0.0,0.0
3,12,-0.0,7.2481872726930305,,0.0,0.0,0.0
3,13,-203.90733812683396,5.020378926186822,,0.0,0.0,0.0
3,14,-0.0,-8.139238255651435,,0.0,0.0,0.0
3,15,-0.0,0.18358343542786315,,0.0,0.0,0.0
3,16,-234.4421198849211,-10.310202563297935,,0.0,0.0,0.0
3,17,-0.0,0.7567165908549214,,0.0,0.0,0.0
3,18,-0.0,6.469268051412655,,0.0,0.0,0.0
3,19,-54.44941755517722,6.396352832118282,,0.0,0.0,0.0
3,20,-101.26941625091082,-12.770257634663722,,0.0,0.0,0.0
3,21,-0.0,-0.9083076876268024,,0.0,0.0,0.0
3,22,357.45,2.5566219737957,,0.0,0.0,0.0
3,23,-7.355717734441158,-15.788227577853831,,0.0,0.0,0.0
3,24,-0.0,25.72702027928608,,0.0,0.0,0.0
3,25,-0.0,-2.5119439153932035,,0.0,0.0,0.0
3,26,-343.9225698859058,-7.637167553999461,,0.0,0.0,0.0
3,27,-0.0,-5.005950645994744,,0.0,0.0,0.0
3,28,-258.2199051195099,-0.5637389648181852,,0.0,0.0,0.0
3,29,-0.0,-0.2542350484727649,,0.0,0.0,0.0
3,30,-0.0,15.744313259070623,,0.0,0.0,0.0
3,31,-174.31340398594278,-11.187184138194425,,0.0,0.0,0.0
3,32,-309.54741921762786,16.175208376182127,,0.0,0.0,0.0
3,33,-253.25907222884035,-10.47205913545622,,0.0,0.0,0.0
3,34,-0.0,3.4015863453241764,,0.0,0.0,0.0
3,35,-193.55801433767837,-6.277852970568347,,0.0,0.0,0.0
3,36,-0.0,-13.288538122695172,,0.0,0.0,0.0
3,37,-0.0,-1.3615455185063183,,0.0,0.0,0.0
3,38,-0.0,-6.5263824495486915,,0.0,0.0,0.0
3,39,-0.0,-7.592653093612171,,0.0,0.0,0.0
3,40,-253.85779343978322,-9.764541760683642,,0.0,0.0,0.0
3,41,-287.6427760572746,-8.67466359322134,,0.0,0.0,0.0
3,42,-0.0,-3.5298062635120004,,100.0,1676.2466,22117.258754613464
3,43,-334.00090410456653,-9.528941069555003,,0.0,0.0,0.0
3,44,-31.64669257840963,15.744313259070623,,0.0,0.0,0.0
3,45,-0.0,-10.466027737464174,,21.23,588.22028936,7761.28067581985
3,46,-351.7914772297265,-10.62953957146965,,0.0,0.0,0.0
3,47,-297.31640019408036,6.377687589323614,,0.0,0.0,0.0
3,48,-0.0,26.77762260484451,,0.0,0.0,0.0
3,49,-0.0,-1.4250000645697583,,0.0,0.0,0.0
3,50,-0.0,-6.209851416249876,,0.0,0.0,0.0
3,51,-0.0,-0.9824904762062943,,0.0,0.0,0.0
3,52,-190.47887668140066,-4.29358969637542,,0.0,0.0,0.0
3,53,-0.0,0.8342060354334535,,0.0,0.0,0.0
3,54,-0.0,-0.9824904762062943,,0.0,0.0,0.0
3,55,456.66,-5.17349560414732,,0.0,0.0,0.0
3,56,-0.0,19.412295588263078,,1200.0,10077.9996,0.0
3,57,-0.0,-4.505193803925067,,0.0,0.0,0.0
3,58,-304.475395244926,1.3036117643932812,,0.0,0.0,0.0
3,59,-0.0,2.896322178610717,,0.0,0.0,0.0
3,60,-0.0,18.97661252009857,,0.0,0.0,0.0
3,61,-279.60280551032724,-5.077458279149141,,0.0,0.0,0.0
